flash_duration,flash_footprint,flash_id,flash_time,latitude,longitude,number_of_events,number_of_groups,radiance
432,16,680157,2025-03-02T23:51:01.918,37.0521,-7.3953004,101,22,276.0
508,25,685558,2025-03-02T23:52:50.182,37.0386,-4.7304,184,57,625.0
316,23,689903,2025-03-02T23:54:16.09,37.0467,-7.4034004,129,34,283.0
216,61,705847,2025-03-02T23:59:51.009,36.1125,-8.1702,212,49,989.0
125,82,708218,2025-03-03T00:00:45.041,36.7794,-7.3521004,323,52,1247.0
4,1,708220,2025-03-03T00:00:45.11,36.903603,-7.0389004,4,4,9.0
325,14,710589,2025-03-03T00:01:28.248,37.068302,-7.4088,76,37,277.0
24,12,743559,2025-03-03T00:13:05.8,36.7443,-7.4493003,45,7,189.0
147,13,746763,2025-03-03T00:14:11.77,36.7443,-7.4412003,67,13,292.0
121,11,749689,2025-03-03T00:15:09.516,36.7578,-7.4574003,42,7,166.0
30,10,760429,2025-03-03T00:18:51.728,36.7794,-7.4439,59,16,236.0
20,11,1471,2025-03-03T02:32:19.293,36.725403,-7.5384,29,5,117.0
402,19,2577,2025-03-03T02:32:41.202,36.876602,-7.3170004,199,110,607.0
261,35,3512,2025-03-03T02:33:01.148,37.0872,-7.1793003,118,21,874.0
355,16,3984,2025-03-03T02:33:07.8,36.852303,-7.3116,165,69,514.0
267,8,5117,2025-03-03T02:33:31.448,36.8334,-7.3278003,47,28,111.0
348,22,5155,2025-03-03T02:33:34.218,37.0791,-7.1712003,129,63,477.0
259,16,6779,2025-03-03T02:33:56.852,36.855,-7.3116,144,59,405.0
211,2,6825,2025-03-03T02:34:01.516,37.071,-7.1658,13,10,58.0
357,19,8940,2025-03-03T02:34:38.412,36.8847,-7.3224,181,88,1041.0
7,4,8988,2025-03-03T02:34:42.394,37.1115,-7.1631002,10,6,19.0
460,24,10992,2025-03-03T02:35:17.387,36.8496,-7.2873,177,50,705.0
367,10,11538,2025-03-03T02:35:31.445,37.106102,-7.1415,44,28,100.0
372,9,12522,2025-03-03T02:35:50.195,36.8442,-7.3197002,51,37,127.0
156,34,12544,2025-03-03T02:35:51.902,36.722702,-7.4655004,178,43,931.0
753,35,13548,2025-03-03T02:36:10.764,36.9252,-7.3386,245,93,1187.0
263,5,14065,2025-03-03T02:36:18.23,37.0872,-7.1496,25,18,67.0
29,2,15183,2025-03-03T02:36:44.729,37.0872,-7.155,5,3,14.0
719,18,15675,2025-03-03T02:36:48.054,36.8712,-7.2738004,85,47,234.0
290,26,20047,2025-03-03T02:38:06.936,36.954903,-7.2711,185,80,472.0
694,18,20688,2025-03-03T02:38:23.466,36.9225,-7.2927003,154,41,553.0
286,8,22295,2025-03-03T02:38:51.246,36.8739,-7.3035,65,25,183.0
