flash_duration,flash_footprint,flash_id,flash_time,latitude,longitude,number_of_events,number_of_groups,radiance
155,6,1878430,2025-03-03T10:08:32.335,36.8955,-6.0939,16,6,177.0
4,5,1929525,2025-03-03T10:20:21.002,36.917103,-6.0480003,16,4,156.0
556,21,1932342,2025-03-03T10:21:00.304,36.9306,-6.0237,224,60,3314.0
63,3,1933919,2025-03-03T10:21:22.819,36.9225,-6.0507,8,3,43.0
195,3,1952674,2025-03-03T10:21:45.949,36.9252,-6.0534,10,4,74.0
230,4,1957702,2025-03-03T10:22:04.14,36.9333,-6.0372,14,6,81.0
121,2,1959747,2025-03-03T10:22:32.177,36.9225,-6.0264,3,3,16.0
423,9,1965482,2025-03-03T10:23:48.34,36.9603,-6.0048003,88,26,993.0
182,4,1967006,2025-03-03T10:24:15.613,36.927902,-6.0399003,33,13,348.0
388,9,1970559,2025-03-03T10:25:04.468,36.941402,-6.0399003,75,19,820.0
498,13,1974524,2025-03-03T10:25:51.513,36.9252,-6.0291,178,46,2893.0
265,8,1977422,2025-03-03T10:26:32.131,36.9198,-6.0291,27,12,254.0
328,12,1981713,2025-03-03T10:27:28.474,36.9306,-6.0291,37,12,483.0
441,19,1989202,2025-03-03T10:29:14.627,36.9711,-5.9859,119,27,1552.0
327,10,2006153,2025-03-03T10:31:51.867,36.9603,-5.9778004,58,14,741.0
347,15,2024621,2025-03-03T10:36:14.891,37.0116,-5.9994,55,18,391.0
266,13,2053086,2025-03-03T10:42:38.698,37.0224,-5.9508,61,14,449.0
188,17,2053815,2025-03-03T10:42:49.742,36.936,-6.0129004,55,13,908.0
215,5,2059506,2025-03-03T10:44:07.256,37.0359,-5.9643,8,5,41.0
441,10,2069657,2025-03-03T10:46:27.83,37.0386,-5.9265003,37,9,200.0
262,12,2069762,2025-03-03T10:46:34.554,36.99,-5.9886003,70,11,696.0
32,12,2080487,2025-03-03T10:49:02.513,36.9765,-5.9832,49,12,667.0
261,13,2090782,2025-03-03T10:51:23.985,36.9819,-5.9724,47,10,604.0
834,25,2102447,2025-03-03T10:53:57.034,37.0197,-5.9589,397,90,4556.0
451,16,2117320,2025-03-03T10:57:16.671,37.0602,-5.9049,104,22,874.0
342,16,2130238,2025-03-03T11:00:11.795,37.0872,-5.9103003,81,22,572.0
307,10,2139345,2025-03-03T11:02:09.028,37.108803,-5.9184003,17,7,119.0
3,2,2139351,2025-03-03T11:02:09.353,36.8037,-6.102,4,3,30.0
87,7,2144665,2025-03-03T11:03:22.894,37.1304,-5.8887,13,5,79.0
297,11,2151337,2025-03-03T11:04:54.087,36.8172,-6.1074,96,26,1522.0
75,5,2155883,2025-03-03T11:05:48.589,36.825302,-6.1155,17,5,136.0
273,15,2157317,2025-03-03T11:06:08.046,37.108803,-5.9319,63,16,352.0
50,9,2164833,2025-03-03T11:07:46.202,36.8307,-6.0993004,30,7,345.0
